id,description
2718722753,"The Role

As a Data Analyst on Tesla’s logistics team, you will be responsible for accessing, modeling, and visualizing data as a thought partner to the logistics team.

Responsibilities
Experience or capacity to build models, query data across multiple SQL databases, and conduct rigorous quantitative analysis.
Generate data visualizations based on requirements from different stakeholders, including operations, finance, and other non-logistics business units.
Work closely with operations team members to define, measure, and track key performance indicators, measuring operational performance and outcomes.
Conduct research and data collection as part of ad hoc analysis requests, enabling business and operations units to conduct data-driven root cause analysis.
Analyze key drivers of logistics performance and identify prioritized actions for reducing vehicle dwell time, optimizing lane transit time, and minimizing vehicle re-routings and exceptions.
Work closely with third party logistics providers to quantify milestones and goals and develop reporting triggers based on partner performance.
Determine optimal benchmarks to enable operations decision-making: for example, when to send low-density shipments.
Requirements
Bachelor’s Degree in computer science, supply chain, data science, or mathematics; or equivalent experience or evidence of exceptional ability.
2+ years’ experience working with business systems, data analytics, or robust quantitative analysis.
Exceptional analytical skills in logistics, data visualization, and the ability to derive important information from data.
Excellent verbal and written communication skills; ability to communicate with technical team members is essential.
Experience or capacity to build data models, query data sources, clean data, and synthesize analysis in clear language, accessible to both technical and non-technical audiences.
Ability to define problems, collect relevant data, extract meaning from data, and draw logical and coherent conclusions.
Show less
Seniority level
Entry level
Employment type
Full-time
Job function
Information Technology
Industries
Automotive, Renewables & Environment, and Utilities"
2751933219,"Position Summary... What You'll Do...

Walmart Global Tech's mission is simple: to innovate on Omnichannel retail to help our customers save time and money and live a better life. We obsess about understanding our user and their desired outcomes. We develop retail solutions by using cutting edge technology and customer-first mindset, which delight our customers. We are a team which is growing very fast as we change the face of online retail and define the next generation of ecommerce. Come join us on this journey!

More About The Role

We are looking for a Data Analyst to join the Retail Data services organization, to help improve customer experiences. We are looking for someone who is as passionate as we are about understanding the user and how they interact with our business to best serve their needs.

What you’ll do
Understand the data sources and streamline them into business and product dashboards which help keep track of the overall business and platform performance in real-time.
Help grow the culture of data-based decision making by bringing industry best practices on tools, tagging, reporting and analysis.
Help bring data-standardization across market banners.
Support the experiment-based product development by helping the Product and Strategy teams in setting-up and analyzing A/B and Multivariate test data and provide insights, actionable recommendations & business value/impact for business stakeholders.
Provide actionable insights, business impact & recommendations on key metrics and segments to determine if an experiment is successful.
Measure post-launch metrics and work with Product Owners to understand feature performance and areas to optimize.
Work to pull raw transactional data and manipulate in reporting and visualization tools like, Excel, Google Data Studio, Tableau, Power BI, looker to answer questions that inform product/feature prioritization and design decisions.
Run exploratory analysis of site performance and customer data to identify key areas of the site that can be optimized.
Work closely with product management to create new feature test plans and decision trees in order to drive a “test and learn” culture within the organization.
Develop web & app product measurement & implementation requirements for new cart & checkout features.
Work closely with web & app engineering teams to implement product release features.
Specific Skills

This role will focus on supporting Product Management and Strategy functions, understanding customer data and product performance, building automation and creating efficiencies where you identify them.
3-5 years of experience in a data team working on customer and business data sets.
Master’s degree Statistics, Applied Math, Economics or related fields preferred.
Web and Mobile analytics skills: Google Analytics and/or Adobe Omniture.
App Analytics skills: Firebase, Flurry.
Testing and Optimization tools: Google Optimize, Firebase, Adobe target, Optimizely
Knowledge of web/app tagging & debugging tools like omnibug, google tag manager, charles
Expert level knowledge of reporting & visualization tools like Excel, Tableau, Looker, Power BI, Google Data Studio
Strong knowledge of experiments design and testing methodologies.
Ability to use quantitative methods to answer complex business questions.
Experience deriving business insights from large, complex, multi-dimensional data sets using tools like SQL, R, Python,GCS’s Google BigQuery.
Excellent communication and relationship-building skills, with a high attention to detail.
Sharp business judgement and ability to see past the noise in data.
Must have passion for problem solving, critical thinking and data.
Must be comfortable with adopting new tools and recommending new technologies which can improve the data ecosystem on the team.
Minimum Qualifications...

Outlined below are the required minimum qualifications for this position. If none are listed, there are no minimum qualifications.

Option 1: Bachelor's degree in Business, Engineering, Statistics, Economics, Analytics, Mathematics, Arts, Finance or related field and 1 year's

experience in data analysis, data science, statistics, or related field. Option 2: 3 years' experience in data analysis, data science, statistics, or related field Preferred Qualifications...

Outlined below are the optional preferred qualifications for this position. If none are listed, there are no preferred qualifications.

Data science, data analysis, statistics, or related field, Master’s degree in Business, Computer Science, Engineering, Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology or related field, Related industry experience (for example, retail, merchandising, healthcare, eCommerce), Successful completion of assessments in data analysis and Business Intelligence tools and scripting languages (for example, SQL, Python, Spark, Scala, R, Power BI, or Tableau) Primary Location...640 W California Avenue, Sunnyvale, CA 94086-4828, United States of America
Show less
Seniority level
Associate
Employment type
Full-time
Job function
Information Technology
Industries
Information Technology and Services, Retail, and Financial Services"
2714056502,"TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity, celebrate individuality and bring people together. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Mumbai, Singapore, Jakarta, Seoul and Tokyo.

The Data Analytics team of the US Tech Services department at TikTok is responsible for building high-quality and timely data solutions for the business as the single source of truth and for building easy-to-use and scalable data products to support business growth. You will have the exciting opportunity to:
 Responsibilities
Design and monitor core metrics; understand root causes of metric movements
Design and build advanced analytical solutions and products to deliver superior business outcomes using research and performing quantitative and qualitative analysis
Identify trends and opportunities to drive product growth and nurture a healthy ecosystem
Understand underlying data sources and their limitations and communicate complex data insights through exploratory analysis and research to suggest improvement

Qualifications
2+ years of experience in BI, Data Analytics, and Data Science.
Experience with SQL, ETL, R/Python.
Experience navigating and working with very large data sets and developing large and complex data pipelines using SQL/HQL
Experience with a data visualization tool (e.g. Tableau, Looker)
Self-motivated, detail-oriented, learn autonomously, and highly organized
Ability to conduct rigorous analysis and communicate conclusions to both technical and non-technical audiences.
BA/BS in Computer Science, Math, Economics, Statistics, or other quantitative fields

TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We believe individuals shouldn't be disadvantaged because of their background or identity, but instead should be considered based on their strengths and experience. We are passionate about this and hope you are too.

TikTok is committed to providing reasonable accommodations during our recruitment process. If you need assistance or an accommodation, please reach out to us at USRC@tiktok.com
Show less
Seniority level
Entry level
Employment type
Full-time
Job function
Analyst
Industries
Internet"
2739427615,"The Stanford University Clinical Excellence Research Center (CERC) strives to lower the cost of excellent healthcare in the United States by designing, pilot testing, and evaluating innovative models of care delivery. To accomplish this, CERC uses both traditional statistical methods and modern approaches, such as machine learning and artificial intelligence. This Data Analyst position will support these efforts by processing a wide variety of complex healthcare data from various sources to produce analytical datasets for addressing a variety of innovative CERC research questions. The Analyst will have the opportunity to collaborate with CERC faculty and their partners in the Stanford schools of medicine, engineering, and business.

Duties Include
Creating complex, logical code using SQL and other programs to query large relational databases and extract files into analysis-ready datasets for addressing a variety of CERC-relevant research questions.
Working closely with the senior biostatistician, faculty and research staff at CERC to ensure variables extracted are in a format to address multiple research questions.
Devising, implementing and documenting comprehensive data quality checks to ensure data are clean and ready for analysis.
Researching and reconciling data discrepancies occurring among various information systems and reports.
Writing code to restructure extracted datasets and evaluation survey datasets for additional analyses while working closely with the CERC senior biostatistician, faculty and research staff.
Construct new variables and scales for analysis and conduct reliability and validity checks.
Collaborate in writing evaluation and data analysis plans.
Create reports and data visualizations of analysis results.
Create well-organized codebooks and other data documentation files.
Assist in communicating data attributes to CERC faculty and research staff.
Create internally shareable datasets for use by fellows and other CERC faculty and research staff.
Create final externally shareable datasets for partners.
Oversee dataset version control.
Serve as liaison with staff maintaining external database.
The job duties listed are typical examples of work performed by positions in this job classification and are not designed to contain or be interpreted as a comprehensive inventory of all duties, tasks, and responsibilities. Specific duties and responsibilities may vary depending on department or program needs without changing the general nature and scope of the job or level of responsibility. Employees may also perform other duties as assigned.
Job

Information Analytics

Location

Stanford

Schedule

Full-time

Grade

G

Job Code

4751

Desired Qualifications
Experience with programming languages such as SQL or Python for querying large, relational databases, and using those skills in an externally created dashboard/sandbox.
Experience with acquisition and integration of data and codebooks from other sources and locations.
Experience cleaning, restructuring and merging datasets.
Bachelors or graduate degree in quantitative discipline such as statistics, health economics, public health, public policy, computer science.
Experience collaborating with clinical investigators on research in health services, public health or related discipline.
Familiarity with statistical packages like SAS, SPSS, Stata (preferred) or R (preferred).
Ability to clearly communicate technical information to technical and non-technical audiences.
Education & Experience (required)
Bachelor's degree or a combination of education and relevant experience. Experience in a quantitative discipline such as economics, finance, statistics or engineering.
Knowledge, Skills And Abilities (required)
Substantial experience with MS Office and analytical programs.
Strong writing and analytical skills.
Ability to prioritize workload.
Certifications & Licenses
Project management or healthcare quality improvement certifications preferred.
PHYSICAL REQUIREMENTS*:
Sitting in place at computer for long periods of time with extensive keyboarding/dexterity.
Occasionally use a telephone.
Rarely writing by hand.
- Consistent with its obligations under the law, the University will provide reasonable accommodation to any employee with a disability who requires accommodation to perform the essential functions of his or her job.
Working Conditions
Some work may be performed in a laboratory or field setting.
Work Standards
Interpersonal Skills: Demonstrates the ability to work well with Stanford colleagues and clients and with external organizations.
Promote Culture of Safety: Demonstrates commitment to personal responsibility and value for safety; communicates safety concerns; uses and promotes safe behaviors based on training and lessons learned.
Subject to and expected to comply with all applicable University policies and procedures, including but not limited to the personnel policies and other policies found in the University's Administrative Guide, http://adminguide.stanford.edu .
Why Stanford is for You

Our Culture And Unique Perks Empower You With

Imagine a world without search engines or social platforms. Consider lives saved through first-ever organ transplants and research to cure illnesses. Stanford University has revolutionized the way we live and enrich the world. Supporting this mission is our diverse and dedicated 17,000 staff. We seek talent driven to impact the future of our legacy.
Freedom to grow. We offer career development programs, tuition reimbursement, or audit a course. Join a TedTalk, film screening, or listen to a renowned author or global leader speak.
A caring culture. We provide superb retirement plans, generous time-off, and family care resources.
A healthier you. Climb our rock wall, or choose from hundreds of health or fitness classes at our world-class exercise facilities. We also provide excellent health care benefits.
Discovery and fun. Stroll through historic sculptures, trails, and museums.
Enviable resources. Enjoy free commuter programs, ridesharing incentives, discounts and more.
Stanford is an equal employment opportunity and affirmative action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, protected veteran status, or any other characteristic protected by law.
Show less
Seniority level
Entry level
Employment type
Full-time
Job function
Information Technology
Industries
Nonprofit Organization Management, Financial Services, and Hospital & Health Care"
2750176043,"Overview

The focus of the Data Success team is to drive end to end delivery and adoption for internal use case customers across Intuit (AI, analytics, product development) leveraging platforms built by the Data Infrastructure and Cognition teams. We enable BUs and functional groups to create value from data in a self-serve capacity, by enabling data use cases resulting in significant business impact and improving the lives of our customers. In FY22 we are driving a transformative strategic initiative around clean data called Data Stewardship.

We are looking for a hands-on Business Data Analyst who is a creative problem solver with a passion to deliver advanced data-driven solutions. You will work alongside other data analysts, engineers, PMOs and product managers to grow our business at Intuit. We are an exciting, growing, and fun team that works with a wide variety of teams across Intuit to deliver awesome.

What You'll Bring
Work experience in business data analysis
Experience in SQL
Data visualization skills
Experience in generating and presenting insights from data; experience building dashboards in Tableau or similar tools
Strong customer empathy
Strong technical aptitude, with the ability to communicate effectively across teams
Proactive and inquisitive learner who seeks out and capitalizes on opportunities for change that enhance the business, rather than reacting to circumstances
Strong organizational skills, time management, accountability, and the ability to manage multiple projects simultaneously to meet objectives and key deadlines
Bachelor's Degree or equivalent experience
Driving Our Clean Data Strategy

How you will lead
As part of the team leading Intuit’s Data Stewardship program, assist with communications, product/program documentation and building compelling stories to drive the program forward.
Identify Opportunities And Influence Partners To Act
Provide insights to the leadership team on impact of strategic initiatives on the key metrics. You will be supporting complex analytical initiatives, developing tracking, combining data from multiple sources to extract meaning, reconcile assumptions, and identify logical paths for action. Partner with leadership to prioritize areas of opportunity to drive growth
Driving Self-serve And Data Literacy
Democratize data by building and socializing decision tools (dashboards, reports); build key data sets/pipelines to empower operational and exploratory analysis. Define, implement and standardize metrics, reports and dashboards leveraging Tableau or other data visualization tool
Show less
Seniority level
Associate
Employment type
Full-time
Job function
Information Technology
Industries
Information Technology and Services, Computer Software, and Financial Services"
2726826360,"The Role

Tesla's mission is to accelerate the world's transition to sustainable energy. We are committed to hiring the world's best and brightest people to help make this future a reality. Every Tesla is designed to be the safest, quickest car in its class—with industry-leading safety, range and performance. Quality Engineering team plays a key role in ensuring safety of our customers by providing world class Quality of our products. Quality Systems and Analytics team is looking for a key player on the team who can help drive Quality data analytics and help cross-functional engineering organizations to provide opportunities in product quality improvements. Candidate should have experience working with large data sets, finding best ways to engineer the data to help create critical KPI metrics, building innovative visualizations and dashboards all the while keeping in mind what improvements can be driven in underlying data systems.

Responsibilities
Analyze manufacturing, equipment and vehicle data and extract useful statistics and insights about failures in order to drive meaningful improvements to production quality and customer experience
Work effectively with engineers and conducting end-to-end analyses, from data requirement gathering, to data processing and modeling
Interpret data, analyze results using statistical techniques and provide ongoing reports
Identify data sources where the potential value is not fully realized and invent new means with which to interact and gather insights from them.
Monitoring key product metrics, understanding root causes of changes in metrics
Identify, analyze, and interpret trends or patterns in complex data sets and depict the story via dashboards and reports
Acquire data from primary or secondary data sources and maintain databases/data systems to empower operational and exploratory analysis
Maintaining existing data visualizations, data pipelines and dashboard enhancement requests
Automating analyses and authoring pipelines using SQL, Python, Airflow, Kubernetes based ETL framework
Develop and maintain real time data streaming and processing pipeline using Kafka
Drive underlying data systems improvement by working with key cross-functional stakeholders
Perform data quality validations to ensure data creation is as per the business needs and expectations
Work with management to prioritize business and information needs
Requirements
BS/MS in Management Information Systems, Computer Science, Math, Physics, Engineering, Statistics or other technical field
3+ years of work experience in data analytics or engineering related field
Strong knowledge of SQL and experience with multiple data architecture paradigms (MySQL, MicrosoftSQL, Vertica, Oracle, kafka, Spark)
Proficient at ad-hoc analysis using SQL queries, python data analysis packages (e.g.Pandas, Numpy) , report writing and presenting findings
Proficient in data visualization techniques and tools using Tableau, Power BI, Superset, Matplotlib, Plotly etc.
Knowledge of various data communication protocols (e.g. REST API, Websockets)
Strong understanding of various statistical techniques to effectively summarize data findings
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
Strong knowledge of data warehousing concepts, data mining tools and techniques
Knowledge of manufacturing and service operations preferred
Able to work under pressure while collaborating and managing competing demands with tight deadlines
Excellent communication skill and ability to work with different business stakeholders to understand, identify and translate business challenges into data projects
A passion and curiosity for data and data-driven decision making
Show less
Seniority level
Entry level
Employment type
Full-time
Job function
Information Technology
Industries
Automotive, Renewables & Environment, and Utilities"
2748403826,"The role

As a Data Analyst, you will help shape how Design Technology builds innovative software that accelerates the pace of product and equipment design at Tesla. Your role is crucial in enabling a true feedback loop into our process and software design approach. Your work will fundamentally transform the way engineers create and communicate their work which will have a direct impact on Tesla’s ability to scale the company worldwide. The successful candidate is a self-starter with a passion for data analytics and continuously demonstrates an ability to tackle complex problems and implement solutions.

Responsibilities
Business Process Performance Measurements
Consult with Business Process owner on establishing measurable and meaningful key performance indicator (KPI)
Create compelling data visualization using commercial business intelligence (BI) or customized solution to track business outcomes
Interpret, analyze, and draw conclusions from business process diagrams
Create ETL/ELT pipelines using industry standard practice
Use data from a variety of sources (API, Excel, etc.)
Develop the transform step using modern language such as Python
Ensure that data confidentiality is respected to protect our intellectual property
Work with the development team to make reporting solution permanent
Requirements
2+ years of experience data analytics in an enterprise setting
Proficiency with SQL & noSQL DB and using them programmatically (e.g.: Python)
Work experience with REST API’s and processing large number of files
Experience with designing relational and NoSQL databases
Experience creating dashboards/visualizations using, e.g., Tableau (or similar)
High proficiency with Microsoft Windows and Office applications, particularly Microsoft Excel and PowerPoint
Strong organizational skills and the ability to prioritize and manage multiple projects simultaneously with complex and demanding deadlines
Strong problem-solving skills to help refine problem statements and solve them with the available data
Familiarity with Directed Acyclic Graph data
Show less
Seniority level
Entry level
Employment type
Full-time
Job function
Information Technology
Industries
Automotive, Renewables & Environment, and Utilities"
2708106292,"Overview

Do you have a passion for making huge business impacts by leveraging data-driven insights? Do you love working collaboratively in an innovative environment? Would you love to make an impact on our customers’ lives? Come join Intuit where you can grow your career and be empowered to do the best work of your life!

We are looking for a hands-on Business Data Analyst who is a creative problem solver with a passion to deliver advanced data-driven solutions. You will work alongside product managers, marketers, and others to grow our business at Intuit. We are an exciting, growing, and fun team that works with industry-leading analytics tools, techniques and best practices.

What You'll Bring
1-3 years of experience in generating and presenting insights from marketing/product data; experience in advanced analytics and optimization a plus
Experience with customer behavioral analytics and or marketing analytics
SQL skills to perform data segmentation and aggregation from scratch; experience working with granular web clickstream data and behavior tracking tools
Domain experience in subjects such as experimental design and Multivariate/A-B testing is a plus
Knowledge of programming languages and stats packages (e.g. Python, R); experience in developing and deploying machine learning models preferred
Strong communication skills with the ability to influence decision makers and build consensus with teams
Bachelor degree in Business, Engineering, Math, Statistics, Finance, Economics, or a related field or equivalent experience. MBA or graduate degree in a related field is a plus
How You Will Lead
Driving business strategy: you will be partnering closely with different business units, developing internal and external data sources to be used in propensity modeling and predictive analytics. Understand the current ecosystems, historical customer behaviors, and long-term trends in order to identify ways to improve and communicate the necessary information to key partners
Identify opportunities and influence partners to act: Provide insights to the leadership team on impact of strategic initiatives on the key metrics. You will be supporting complex analytical initiatives, developing tracking, combining data from multiple sources to extract meaning, reconcile assumptions, and identify logical paths for action. Partner with leadership to prioritize areas of opportunity to drive growth
Driving self-serve and data literacy: democratize data by building and socializing decision tools (dashboards, reports); build key data sets/pipelines to empower operational and exploratory analysis. Define, implement and standardize metrics, reports and dashboards leveraging Tableau or other data visualization tools
Show less
Seniority level
Associate
Employment type
Full-time
Job function
Information Technology
Industries
Information Technology and Services, Computer Software, and Financial Services"
2756547585,"Direct message the job poster from Collabera Inc.
Sneha Gupta
Lead Recruiter at Collabera Inc.

Review and analyze testing data to identify problematic areas
Provide feedback to developers team
Create test scenarios
Work closely with engineers ensuring high quality of tests
Identify and report bugs
Keep track of issues.

Requirements:
BS/BA degree Entry level to 5 years of experience
Attention to detail
Willing to learn new skills

Nice to have: Background or degree in science, technology, physics, mathematics, statistics, engineering, data analysis or similar fields


NICE,Documentation,Collaboration,Training,Engineering,mathematics,physics,statistics,data analysis
Show less
Seniority level
Entry level
Employment type
Full-time
Job function
Information Technology
Industries
Information Technology and Services"
2738962176,"The Stanford University Clinical Excellence Research Center (CERC) strives to lower the cost of excellent healthcare in the United States by designing, pilot testing, and evaluating innovative models of care delivery. To accomplish this, CERC uses both traditional statistical methods and modern approaches, such as machine learning and artificial intelligence. This Data Analyst position will support these efforts by processing a wide variety of complex healthcare data from various sources to produce analytical datasets for addressing a variety of innovative CERC research questions. The Analyst will have the opportunity to collaborate with CERC faculty and their partners in the Stanford schools of medicine, engineering, and business.

Duties Include
Creating complex, logical code using SQL and other programs to query large relational databases and extract files into analysis-ready datasets for addressing a variety of CERC-relevant research questions.
Working closely with the senior biostatistician, faculty and research staff at CERC to ensure variables extracted are in a format to address multiple research questions.
Devising, implementing and documenting comprehensive data quality checks to ensure data are clean and ready for analysis.
Researching and reconciling data discrepancies occurring among various information systems and reports.
Writing code to restructure extracted datasets and evaluation survey datasets for additional analyses while working closely with the CERC senior biostatistician, faculty and research staff.
Construct new variables and scales for analysis and conduct reliability and validity checks.
Collaborate in writing evaluation and data analysis plans.
Create reports and data visualizations of analysis results.
Create well-organized codebooks and other data documentation files.
Assist in communicating data attributes to CERC faculty and research staff.
Create internally shareable datasets for use by fellows and other CERC faculty and research staff.
Create final externally shareable datasets for partners.
Oversee dataset version control.
Serve as liaison with staff maintaining external database.
The job duties listed are typical examples of work performed by positions in this job classification and are not designed to contain or be interpreted as a comprehensive inventory of all duties, tasks, and responsibilities. Specific duties and responsibilities may vary depending on department or program needs without changing the general nature and scope of the job or level of responsibility. Employees may also perform other duties as assigned.
Desired Qualifications
Experience with programming languages such as SQL or Python for querying large, relational databases, and using those skills in an externally created dashboard/sandbox.
Experience with acquisition and integration of data and codebooks from other sources and locations.
Experience cleaning, restructuring and merging datasets.
Bachelors or graduate degree in quantitative discipline such as statistics, health economics, public health, public policy, computer science.
Experience collaborating with clinical investigators on research in health services, public health or related discipline.
Familiarity with statistical packages like SAS, SPSS, Stata (preferred) or R (preferred).
Ability to clearly communicate technical information to technical and non-technical audiences.
Education & Experience (required)
Bachelor's degree or a combination of education and relevant experience. Experience in a quantitative discipline such as economics, finance, statistics or engineering.
Knowledge, Skills And Abilities (required)
Substantial experience with MS Office and analytical programs.
Strong writing and analytical skills.
Ability to prioritize workload.
Certifications & Licenses
Project management or healthcare quality improvement certifications preferred.
PHYSICAL REQUIREMENTS*:
Sitting in place at computer for long periods of time with extensive keyboarding/dexterity.
Occasionally use a telephone.
Rarely writing by hand.
- Consistent with its obligations under the law, the University will provide reasonable accommodation to any employee with a disability who requires accommodation to perform the essential functions of his or her job.
Working Conditions
Some work may be performed in a laboratory or field setting.
Work Standards
Interpersonal Skills: Demonstrates the ability to work well with Stanford colleagues and clients and with external organizations.
Promote Culture of Safety: Demonstrates commitment to personal responsibility and value for safety; communicates safety concerns; uses and promotes safe behaviors based on training and lessons learned.
Subject to and expected to comply with all applicable University policies and procedures, including but not limited to the personnel policies and other policies found in the University's Administrative Guide, http://adminguide.stanford.edu .
Why Stanford is for You

Our Culture And Unique Perks Empower You With

Imagine a world without search engines or social platforms. Consider lives saved through first-ever organ transplants and research to cure illnesses. Stanford University has revolutionized the way we live and enrich the world. Supporting this mission is our diverse and dedicated 17,000 staff. We seek talent driven to impact the future of our legacy.
Freedom to grow. We offer career development programs, tuition reimbursement, or audit a course. Join a TedTalk, film screening, or listen to a renowned author or global leader speak.
A caring culture. We provide superb retirement plans, generous time-off, and family care resources.
A healthier you. Climb our rock wall, or choose from hundreds of health or fitness classes at our world-class exercise facilities. We also provide excellent health care benefits.
Discovery and fun. Stroll through historic sculptures, trails, and museums.
Enviable resources. Enjoy free commuter programs, ridesharing incentives, discounts and more.
Stanford is an equal employment opportunity and affirmative action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, protected veteran status, or any other characteristic protected by law.
Additional Information
Schedule: Full-time
Job Code: 4751
Employee Status: Regular
Grade: G
Requisition ID: 90785
Show less
Seniority level
Entry level
Employment type
Full-time
Job function
Information Technology
Industries
Research, Biotechnology, and Hospital & Health Care"
