job_id,description,desc_id
2718722753,"As a Data Analyst on Tesla’s logistics team, you will be responsible for accessing, modeling, and visualizing data as a thought partner to the logistics team. Experience or capacity to build models, query data across multiple SQL databases, and conduct rigorous quantitative analysis. Generate data visualizations based on requirements from different stakeholders, including operations, finance, and other non-logistics business units. Work closely with operations team members to define, measure, and track key performance indicators, measuring operational performance and outcomes. Conduct research and data collection as part of ad hoc analysis requests, enabling business and operations units to conduct data-driven root cause analysis. Analyze key drivers of logistics performance and identify prioritized actions for reducing vehicle dwell time, optimizing lane transit time, and minimizing vehicle re-routings and exceptions. Work closely with third party logistics providers to quantify milestones and goals and develop reporting triggers based on partner performance. Determine optimal benchmarks to enable operations decision-making: for example, when to send low-density shipments. Bachelor’s Degree in computer science, supply chain, data science, or mathematics; or equivalent experience or evidence of exceptional ability. 2+ years’ experience working with business systems, data analytics, or robust quantitative analysis. Exceptional analytical skills in logistics, data visualization, and the ability to derive important information from data. Excellent verbal and written communication skills; ability to communicate with technical team members is essential. Experience or capacity to build data models, query data sources, clean data, and synthesize analysis in clear language, accessible to both technical and non-technical audiences. Ability to define problems, collect relevant data, extract meaning from data, and draw logical and coherent conclusions. Automotive, Renewables & Environment, and Utilities Referrals increase your chances of interviewing at Tesla by 2x",0
2751974802,"See who Intel Corporation has hired for this role This person will be responsible for Customer, Sales and Operational Data and Reporting foundations. Primarily responsible as a database architect and subject matter expert on the business data terms and values. Working with IT, helping to build the tools and databases for self-service reporting and dashboards for use by Intel analysts and business users. Helping to develop the proper data architecture and design to take the many disparate data systems and combine it into a usable, scalable foundation that provides business insights and drives business decisions. Work end-to-end to take the data from enterprise marketing and sales system and working with IT, extract, transform and load data into the data warehouse. Combine the data into usable views and cubes and provide the tools and dashboards to the database to make the data accessible to managers, business users and data analysts. Representing the business and working with IT, check, cleanse, and enrich the customer data set to provide the best quality information. Helping to define business requirements into technical requirements and user stories for implementation Be involved in and lead ongoing projects to define our business side requirements from a data and reporting perspective. Working with IT, design the base data structure to align to current business needs while trying to keep the design future proof and scalable. Helping to test and QA the projects, new cubes, new tables and dashboards to make sure they work. Provide strategic input into attribution data modeling Help to better connect with purpose Intel's product data systems and hierarchy Standardize lead gen/demand gen data models and requirements Comfortable with writing and understanding complex SQL queries Experience with data visualization tools (local and cloud) such as Microsoft Power BI Experience with enterprise sales and marketing systems such as salesforce.com and Oracle Eloqua Marketing Cloud Experience with Master Data Management and large central customer data warehouse structure and design. Advanced skill with Microsoft Office (Excel, Word, Access, Powerpoint) You must possess the below minimum qualifications to be initially considered for this position. Preferred qualifications are in addition to the minimum requirements and are considered a plus factor in identifying top candidates. This Position is not eligible for Intel immigration sponsorship Minimum 8+ years of working in complex and large data sets and databases. Minimum 5+ years' of experience working in a large complex company with many business units and a global reach. Intel's Sales and Marketing (SMG) organization works with global customers and partners to solve critical business problems with Intel based technology solutions. SMG works across business units to amplify the customer voice and deliver solutions that accelerate their business. We work across numerous industries, including retail, enterprise and government, cloud services and healthcare as examples. The operations team focuses on forecasting, driving alignment with factory production and delivering efficiency tools and our marketing capability drives demand and localized marketing in locations around the globe. Our sales force navigates a complex partner and customer ecosystem while shaping product roadmaps, driving value for our customers, and collaborating to harness emerging technology trends to deliver comprehensive solutions. All qualified applicants will receive consideration for employment without regard to race, color, religion, religious creed, sex, national origin, ancestry, age, physical or mental disability, medical condition, genetic information, military and veteran status, marital status, pregnancy, gender, gender expression, gender identity, sexual orientation, or any other characteristic protected by local law, regulation, or ordinance. Electrical/Electronic Manufacturing, Information Technology and Services, and Computer Software Referrals increase your chances of interviewing at Intel Corporation by 2x",1
2751959534,"Walmart Global Tech's mission is simple: to innovate on Omnichannel retail to help our customers save time and money and live a better life. We obsess about understanding our user and their desired outcomes. We develop retail solutions by using cutting edge technology and customer-first mindset, which delight our customers. We are a team which is growing very fast as we change the face of online retail and define the next generation of ecommerce. Come join us on this journey! We are looking for a Data Analyst to join the Retail Data services organization, to help improve customer experiences. We are looking for someone who is as passionate as we are about understanding the user and how they interact with our business to best serve their needs. Understand the data sources and streamline them into business and product dashboards which help keep track of the overall business and platform performance in real-time. Help grow the culture of data-based decision making by bringing industry best practices on tools, tagging, reporting and analysis. Help bring data-standardization across market banners. Support the experiment-based product development by helping the Product and Strategy teams in setting-up and analyzing A/B and Multivariate test data and provide insights, actionable recommendations & business value/impact for business stakeholders. Provide actionable insights, business impact & recommendations on key metrics and segments to determine if an experiment is successful. Measure post-launch metrics and work with Product Owners to understand feature performance and areas to optimize. Work to pull raw transactional data and manipulate in reporting and visualization tools like, Excel, Google Data Studio, Tableau, Power BI, looker to answer questions that inform product/feature prioritization and design decisions. Run exploratory analysis of site performance and customer data to identify key areas of the site that can be optimized. Work closely with product management to create new feature test plans and decision trees in order to drive a “test and learn” culture within the organization. Develop web & app product measurement & implementation requirements for new cart & checkout features. Work closely with web & app engineering teams to implement product release features. This role will focus on supporting Product Management and Strategy functions, understanding customer data and product performance, building automation and creating efficiencies where you identify them. 3-5 years of experience in a data team working on customer and business data sets. Master’s degree Statistics, Applied Math, Economics or related fields preferred. Web and Mobile analytics skills: Google Analytics and/or Adobe Omniture. Testing and Optimization tools: Google Optimize, Firebase, Adobe target, Optimizely Knowledge of web/app tagging & debugging tools like omnibug, google tag manager, charles Expert level knowledge of reporting & visualization tools like Excel, Tableau, Looker, Power BI, Google Data Studio Strong knowledge of experiments design and testing methodologies. Ability to use quantitative methods to answer complex business questions. Experience deriving business insights from large, complex, multi-dimensional data sets using tools like SQL, R, Python,GCS’s Google BigQuery. Excellent communication and relationship-building skills, with a high attention to detail. Sharp business judgement and ability to see past the noise in data. Must have passion for problem solving, critical thinking and data. Must be comfortable with adopting new tools and recommending new technologies which can improve the data ecosystem on the team. Outlined below are the required minimum qualifications for this position. If none are listed, there are no minimum qualifications. Option 1: Bachelor's degree in Business, Engineering, Statistics, Economics, Analytics, Mathematics, Arts, Finance or related field and 1 year's experience in data analysis, data science, statistics, or related field. Option 2: 3 years' experience in data analysis, data science, statistics, or related field Preferred Qualifications... Outlined below are the optional preferred qualifications for this position. If none are listed, there are no preferred qualifications. Data science, data analysis, statistics, or related field, Master’s degree in Business, Computer Science, Engineering, Statistics, Economics, Analytics, Mathematics, Computer Science, Information Technology or related field, Related industry experience (for example, retail, merchandising, healthcare, eCommerce), Successful completion of assessments in data analysis and Business Intelligence tools and scripting languages (for example, SQL, Python, Spark, Scala, R, Power BI, or Tableau) Primary Location...640 W California Avenue, Sunnyvale, CA 94086-4828, United States of America Information Technology and Services, Retail, and Financial Services Referrals increase your chances of interviewing at Walmart by 2x",2
2714056502,"Actual pay may be different — this range is estimated based on Data Analyst in San Francisco Bay Area at similar companies. TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity, celebrate individuality and bring people together. TikTok has global offices including Los Angeles, New York, London, Paris, Berlin, Dubai, Mumbai, Singapore, Jakarta, Seoul and Tokyo. The Data Analytics team of the US Tech Services department at TikTok is responsible for building high-quality and timely data solutions for the business as the single source of truth and for building easy-to-use and scalable data products to support business growth. You will have the exciting opportunity to: Design and monitor core metrics; understand root causes of metric movements Design and build advanced analytical solutions and products to deliver superior business outcomes using research and performing quantitative and qualitative analysis Identify trends and opportunities to drive product growth and nurture a healthy ecosystem Understand underlying data sources and their limitations and communicate complex data insights through exploratory analysis and research to suggest improvement 2+ years of experience in BI, Data Analytics, and Data Science. Experience navigating and working with very large data sets and developing large and complex data pipelines using SQL/HQL Experience with a data visualization tool (e.g. Tableau, Looker) Self-motivated, detail-oriented, learn autonomously, and highly organized Ability to conduct rigorous analysis and communicate conclusions to both technical and non-technical audiences. BA/BS in Computer Science, Math, Economics, Statistics, or other quantitative fields TikTok is committed to creating an inclusive space where employees are valued for their skills, experiences, and unique perspectives. Our platform connects people from across the globe and so does our workplace. At TikTok, our mission is to inspire creativity and bring joy. To achieve that goal, we are committed to celebrating our diverse voices and to creating an environment that reflects the many communities we reach. We believe individuals shouldn't be disadvantaged because of their background or identity, but instead should be considered based on their strengths and experience. We are passionate about this and hope you are too. TikTok is committed to providing reasonable accommodations during our recruitment process. If you need assistance or an accommodation, please reach out to us at USRC@tiktok.com Referrals increase your chances of interviewing at TikTok by 2x",3
2739427615,"See who Stanford University has hired for this role The Stanford University Clinical Excellence Research Center (CERC) strives to lower the cost of excellent healthcare in the United States by designing, pilot testing, and evaluating innovative models of care delivery. To accomplish this, CERC uses both traditional statistical methods and modern approaches, such as machine learning and artificial intelligence. This Data Analyst position will support these efforts by processing a wide variety of complex healthcare data from various sources to produce analytical datasets for addressing a variety of innovative CERC research questions. The Analyst will have the opportunity to collaborate with CERC faculty and their partners in the Stanford schools of medicine, engineering, and business. Creating complex, logical code using SQL and other programs to query large relational databases and extract files into analysis-ready datasets for addressing a variety of CERC-relevant research questions. Working closely with the senior biostatistician, faculty and research staff at CERC to ensure variables extracted are in a format to address multiple research questions. Devising, implementing and documenting comprehensive data quality checks to ensure data are clean and ready for analysis. Researching and reconciling data discrepancies occurring among various information systems and reports. Writing code to restructure extracted datasets and evaluation survey datasets for additional analyses while working closely with the CERC senior biostatistician, faculty and research staff. Construct new variables and scales for analysis and conduct reliability and validity checks. Collaborate in writing evaluation and data analysis plans. Create reports and data visualizations of analysis results. Create well-organized codebooks and other data documentation files. Assist in communicating data attributes to CERC faculty and research staff. Create internally shareable datasets for use by fellows and other CERC faculty and research staff. Create final externally shareable datasets for partners. Serve as liaison with staff maintaining external database. The job duties listed are typical examples of work performed by positions in this job classification and are not designed to contain or be interpreted as a comprehensive inventory of all duties, tasks, and responsibilities. Specific duties and responsibilities may vary depending on department or program needs without changing the general nature and scope of the job or level of responsibility. Employees may also perform other duties as assigned. Experience with programming languages such as SQL or Python for querying large, relational databases, and using those skills in an externally created dashboard/sandbox. Experience with acquisition and integration of data and codebooks from other sources and locations. Experience cleaning, restructuring and merging datasets. Bachelors or graduate degree in quantitative discipline such as statistics, health economics, public health, public policy, computer science. Experience collaborating with clinical investigators on research in health services, public health or related discipline. Familiarity with statistical packages like SAS, SPSS, Stata (preferred) or R (preferred). Ability to clearly communicate technical information to technical and non-technical audiences. Bachelor's degree or a combination of education and relevant experience. Experience in a quantitative discipline such as economics, finance, statistics or engineering. Substantial experience with MS Office and analytical programs. Project management or healthcare quality improvement certifications preferred. Sitting in place at computer for long periods of time with extensive keyboarding/dexterity. - Consistent with its obligations under the law, the University will provide reasonable accommodation to any employee with a disability who requires accommodation to perform the essential functions of his or her job. Some work may be performed in a laboratory or field setting. Interpersonal Skills: Demonstrates the ability to work well with Stanford colleagues and clients and with external organizations. Promote Culture of Safety: Demonstrates commitment to personal responsibility and value for safety; communicates safety concerns; uses and promotes safe behaviors based on training and lessons learned. Subject to and expected to comply with all applicable University policies and procedures, including but not limited to the personnel policies and other policies found in the University's Administrative Guide, http://adminguide.stanford.edu . Imagine a world without search engines or social platforms. Consider lives saved through first-ever organ transplants and research to cure illnesses. Stanford University has revolutionized the way we live and enrich the world. Supporting this mission is our diverse and dedicated 17,000 staff. We seek talent driven to impact the future of our legacy. Freedom to grow. We offer career development programs, tuition reimbursement, or audit a course. Join a TedTalk, film screening, or listen to a renowned author or global leader speak. A caring culture. We provide superb retirement plans, generous time-off, and family care resources. A healthier you. Climb our rock wall, or choose from hundreds of health or fitness classes at our world-class exercise facilities. We also provide excellent health care benefits. Discovery and fun. Stroll through historic sculptures, trails, and museums. Enviable resources. Enjoy free commuter programs, ridesharing incentives, discounts and more. Stanford is an equal employment opportunity and affirmative action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, protected veteran status, or any other characteristic protected by law. Nonprofit Organization Management, Financial Services, and Hospital & Health Care Referrals increase your chances of interviewing at Stanford University by 2x",4
2748403826,"As a Data Analyst, you will help shape how Design Technology builds innovative software that accelerates the pace of product and equipment design at Tesla. Your role is crucial in enabling a true feedback loop into our process and software design approach. Your work will fundamentally transform the way engineers create and communicate their work which will have a direct impact on Tesla’s ability to scale the company worldwide. The successful candidate is a self-starter with a passion for data analytics and continuously demonstrates an ability to tackle complex problems and implement solutions. Consult with Business Process owner on establishing measurable and meaningful key performance indicator (KPI) Create compelling data visualization using commercial business intelligence (BI) or customized solution to track business outcomes Interpret, analyze, and draw conclusions from business process diagrams Create ETL/ELT pipelines using industry standard practice Use data from a variety of sources (API, Excel, etc.) Develop the transform step using modern language such as Python Ensure that data confidentiality is respected to protect our intellectual property Work with the development team to make reporting solution permanent 2+ years of experience data analytics in an enterprise setting Proficiency with SQL & noSQL DB and using them programmatically (e.g.: Python) Work experience with REST API’s and processing large number of files Experience with designing relational and NoSQL databases Experience creating dashboards/visualizations using, e.g., Tableau (or similar) High proficiency with Microsoft Windows and Office applications, particularly Microsoft Excel and PowerPoint Strong organizational skills and the ability to prioritize and manage multiple projects simultaneously with complex and demanding deadlines Strong problem-solving skills to help refine problem statements and solve them with the available data Automotive, Renewables & Environment, and Utilities Referrals increase your chances of interviewing at Tesla by 2x",5
2726826360,"Tesla's mission is to accelerate the world's transition to sustainable energy. We are committed to hiring the world's best and brightest people to help make this future a reality. Every Tesla is designed to be the safest, quickest car in its class—with industry-leading safety, range and performance. Quality Engineering team plays a key role in ensuring safety of our customers by providing world class Quality of our products. Quality Systems and Analytics team is looking for a key player on the team who can help drive Quality data analytics and help cross-functional engineering organizations to provide opportunities in product quality improvements. Candidate should have experience working with large data sets, finding best ways to engineer the data to help create critical KPI metrics, building innovative visualizations and dashboards all the while keeping in mind what improvements can be driven in underlying data systems. Analyze manufacturing, equipment and vehicle data and extract useful statistics and insights about failures in order to drive meaningful improvements to production quality and customer experience Work effectively with engineers and conducting end-to-end analyses, from data requirement gathering, to data processing and modeling Interpret data, analyze results using statistical techniques and provide ongoing reports Identify data sources where the potential value is not fully realized and invent new means with which to interact and gather insights from them. Monitoring key product metrics, understanding root causes of changes in metrics Identify, analyze, and interpret trends or patterns in complex data sets and depict the story via dashboards and reports Acquire data from primary or secondary data sources and maintain databases/data systems to empower operational and exploratory analysis Maintaining existing data visualizations, data pipelines and dashboard enhancement requests Automating analyses and authoring pipelines using SQL, Python, Airflow, Kubernetes based ETL framework Develop and maintain real time data streaming and processing pipeline using Kafka Drive underlying data systems improvement by working with key cross-functional stakeholders Perform data quality validations to ensure data creation is as per the business needs and expectations Work with management to prioritize business and information needs BS/MS in Management Information Systems, Computer Science, Math, Physics, Engineering, Statistics or other technical field 3+ years of work experience in data analytics or engineering related field Strong knowledge of SQL and experience with multiple data architecture paradigms (MySQL, MicrosoftSQL, Vertica, Oracle, kafka, Spark) Proficient at ad-hoc analysis using SQL queries, python data analysis packages (e.g.Pandas, Numpy) , report writing and presenting findings Proficient in data visualization techniques and tools using Tableau, Power BI, Superset, Matplotlib, Plotly etc. Knowledge of various data communication protocols (e.g. REST API, Websockets) Strong understanding of various statistical techniques to effectively summarize data findings Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy Strong knowledge of data warehousing concepts, data mining tools and techniques Knowledge of manufacturing and service operations preferred Able to work under pressure while collaborating and managing competing demands with tight deadlines Excellent communication skill and ability to work with different business stakeholders to understand, identify and translate business challenges into data projects A passion and curiosity for data and data-driven decision making Automotive, Renewables & Environment, and Utilities Referrals increase your chances of interviewing at Tesla by 2x",6
2708106292,"Do you have a passion for making huge business impacts by leveraging data-driven insights? Do you love working collaboratively in an innovative environment? Would you love to make an impact on our customers’ lives? Come join Intuit where you can grow your career and be empowered to do the best work of your life! We are looking for a hands-on Business Data Analyst who is a creative problem solver with a passion to deliver advanced data-driven solutions. You will work alongside product managers, marketers, and others to grow our business at Intuit. We are an exciting, growing, and fun team that works with industry-leading analytics tools, techniques and best practices. 1-3 years of experience in generating and presenting insights from marketing/product data; experience in advanced analytics and optimization a plus Experience with customer behavioral analytics and or marketing analytics SQL skills to perform data segmentation and aggregation from scratch; experience working with granular web clickstream data and behavior tracking tools Domain experience in subjects such as experimental design and Multivariate/A-B testing is a plus Knowledge of programming languages and stats packages (e.g. Python, R); experience in developing and deploying machine learning models preferred Strong communication skills with the ability to influence decision makers and build consensus with teams Bachelor degree in Business, Engineering, Math, Statistics, Finance, Economics, or a related field or equivalent experience. MBA or graduate degree in a related field is a plus Driving business strategy: you will be partnering closely with different business units, developing internal and external data sources to be used in propensity modeling and predictive analytics. Understand the current ecosystems, historical customer behaviors, and long-term trends in order to identify ways to improve and communicate the necessary information to key partners Identify opportunities and influence partners to act: Provide insights to the leadership team on impact of strategic initiatives on the key metrics. You will be supporting complex analytical initiatives, developing tracking, combining data from multiple sources to extract meaning, reconcile assumptions, and identify logical paths for action. Partner with leadership to prioritize areas of opportunity to drive growth Driving self-serve and data literacy: democratize data by building and socializing decision tools (dashboards, reports); build key data sets/pipelines to empower operational and exploratory analysis. Define, implement and standardize metrics, reports and dashboards leveraging Tableau or other data visualization tools Information Technology and Services, Computer Software, and Financial Services Referrals increase your chances of interviewing at Intuit by 2x",7
2738962176,"Stanford University School of Medicine Palo Alto, CA See who Stanford University School of Medicine has hired for this role Actual pay may be different — this range is estimated based on Data Analyst in San Francisco Bay Area at similar companies. The Stanford University Clinical Excellence Research Center (CERC) strives to lower the cost of excellent healthcare in the United States by designing, pilot testing, and evaluating innovative models of care delivery. To accomplish this, CERC uses both traditional statistical methods and modern approaches, such as machine learning and artificial intelligence. This Data Analyst position will support these efforts by processing a wide variety of complex healthcare data from various sources to produce analytical datasets for addressing a variety of innovative CERC research questions. The Analyst will have the opportunity to collaborate with CERC faculty and their partners in the Stanford schools of medicine, engineering, and business. Creating complex, logical code using SQL and other programs to query large relational databases and extract files into analysis-ready datasets for addressing a variety of CERC-relevant research questions. Working closely with the senior biostatistician, faculty and research staff at CERC to ensure variables extracted are in a format to address multiple research questions. Devising, implementing and documenting comprehensive data quality checks to ensure data are clean and ready for analysis. Researching and reconciling data discrepancies occurring among various information systems and reports. Writing code to restructure extracted datasets and evaluation survey datasets for additional analyses while working closely with the CERC senior biostatistician, faculty and research staff. Construct new variables and scales for analysis and conduct reliability and validity checks. Collaborate in writing evaluation and data analysis plans. Create reports and data visualizations of analysis results. Create well-organized codebooks and other data documentation files. Assist in communicating data attributes to CERC faculty and research staff. Create internally shareable datasets for use by fellows and other CERC faculty and research staff. Create final externally shareable datasets for partners. Serve as liaison with staff maintaining external database. The job duties listed are typical examples of work performed by positions in this job classification and are not designed to contain or be interpreted as a comprehensive inventory of all duties, tasks, and responsibilities. Specific duties and responsibilities may vary depending on department or program needs without changing the general nature and scope of the job or level of responsibility. Employees may also perform other duties as assigned. Experience with programming languages such as SQL or Python for querying large, relational databases, and using those skills in an externally created dashboard/sandbox. Experience with acquisition and integration of data and codebooks from other sources and locations. Experience cleaning, restructuring and merging datasets. Bachelors or graduate degree in quantitative discipline such as statistics, health economics, public health, public policy, computer science. Experience collaborating with clinical investigators on research in health services, public health or related discipline. Familiarity with statistical packages like SAS, SPSS, Stata (preferred) or R (preferred). Ability to clearly communicate technical information to technical and non-technical audiences. Bachelor's degree or a combination of education and relevant experience. Experience in a quantitative discipline such as economics, finance, statistics or engineering. Substantial experience with MS Office and analytical programs. Project management or healthcare quality improvement certifications preferred. Sitting in place at computer for long periods of time with extensive keyboarding/dexterity. - Consistent with its obligations under the law, the University will provide reasonable accommodation to any employee with a disability who requires accommodation to perform the essential functions of his or her job. Some work may be performed in a laboratory or field setting. Interpersonal Skills: Demonstrates the ability to work well with Stanford colleagues and clients and with external organizations. Promote Culture of Safety: Demonstrates commitment to personal responsibility and value for safety; communicates safety concerns; uses and promotes safe behaviors based on training and lessons learned. Subject to and expected to comply with all applicable University policies and procedures, including but not limited to the personnel policies and other policies found in the University's Administrative Guide, http://adminguide.stanford.edu . Imagine a world without search engines or social platforms. Consider lives saved through first-ever organ transplants and research to cure illnesses. Stanford University has revolutionized the way we live and enrich the world. Supporting this mission is our diverse and dedicated 17,000 staff. We seek talent driven to impact the future of our legacy. Freedom to grow. We offer career development programs, tuition reimbursement, or audit a course. Join a TedTalk, film screening, or listen to a renowned author or global leader speak. A caring culture. We provide superb retirement plans, generous time-off, and family care resources. A healthier you. Climb our rock wall, or choose from hundreds of health or fitness classes at our world-class exercise facilities. We also provide excellent health care benefits. Discovery and fun. Stroll through historic sculptures, trails, and museums. Enviable resources. Enjoy free commuter programs, ridesharing incentives, discounts and more. Stanford is an equal employment opportunity and affirmative action employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, protected veteran status, or any other characteristic protected by law. Research, Biotechnology, and Hospital & Health Care Referrals increase your chances of interviewing at Stanford University School of Medicine by 2x",8
2740548101,"Our mission is to make education accessible, and over the last two decades Study.com has become the leading online education platform delivering a personalized learning experience across a broad continuum of education for over 30 million students, instructors, and professionals every month. As a member of the Study.com team, you’ll help empower millions of learners to achieve their education and career goals. We focus on increasing access to education because we know information is the ultimate equalizer and that education is key to upward mobility. Every minute a learner enrolls in a course and our College Accelerator solution. Study.com has collectively saved students $132 million in college tuition. You’ll also be part of a company dedicated to contributing to society. Study.com has donated $23 million in-kind value across social impact programs, including matching employee contributions to non-profit organizations and millions to help schools during the pandemic. And Our Work And Company Culture Have Been Consistently Recognized, Including At Study.com, we know that strong communities are built on the power of our diversity and we respect and strive to understand for the diverse identities, race, ethnicities, backgrounds, and perspectives of our team members. Fortune Great Places to Work – Best Workplaces in the Bay Area Golden Bridge Awards – Gold Winner, Corporate Social Responsibility San Francisco Business Times & Silicon Valley Business Journal – Best Places to Work As an education technology leader, Study.com owes much of its success to its data driven approach. We help over thirty million learners and instructors on Study.com each month, improving their user experience and driving growth by collecting, storing and presenting massive amounts of data that are crucial to everyday business decisions. We're looking for a Associate Data Analyst to join our growing team. The ideal candidate is passionate about digging into data, understanding and explaining the stories the data tell as well as helping others solve problems, gain insights, and make smart decisions rooted in data. Additionally, our team built and maintains the entire data and ETL pipeline, so an inclination toward engineering is highly preferred. Come join us on our mission and make a difference. As part of the Business Intelligence team, own and maintain the entire data warehouse, including 50 - 100 million events coming through a Kafka queue each day, a 15 TB relational data warehouse and an integration with Google BigQuery. Work in a cross-functional team and be the team's point person for any data related tasks (ETLing new data, analysis, visualizations, etc.) Monitor and analyze the team’s A/B tests and proactively communicate key insights within your team and to external stakeholders. Be the voice of data by supporting the team's product owner in finding business opportunities, defining KPIs, and setting team goals. Actively establish processes and build tools to make data more accessible to everyone. Use your knowledge of statistics to support the Business Intelligence team in building and maintaining machine learning models (logistic regressions, neural networks, k-means clustering, etc.) that drive a significant portion of our revenue. Help and teach others throughout the company to better use and understand our data. Present findings and insights to teammates, stakeholders, and leadership. A passion for learning and a willingness to pick up whatever you need to get the job done Solid SQL knowledge (we use MySQL and BigQuery) Strong analytical skills and ability to draw conclusions based on data Comfortable working in a fast-paced, dynamic environment while juggling multiple projects Solid experience in Excel for data analysis and visualization BS in Mathematics, Statistics, Computer Science, Operations Research, or similar fields Good interpersonal communication and presentation skills Self-motivated, detail-oriented, and passionate Some programming experience. We primarily use Java/Groovy and Python, with some legacy code written in R. Hands-on experience with advanced statistical concepts, such as cluster analysis, singular value decomposition, stochastic gradient descent, and Bayesian methods Knowledge of web analytics software and best practices Please Note: Our primary concern is for the health and well-being of our employees, as well as candidates. Given ongoing COVID concerns, new employees are being onboarded and working remotely. Once we return to the office, this position will be located in our office in Mountain View, CA. Study.com will be implementing a hybrid model that will include both in-office and remote work. In addition, Study.com will be requiring all employees be fully vaccinated as a condition of employment. If an accommodation is required, please speak with a member of the People Team. At Study.com, you'll join an Agile team, making a big impact in a cross-functional, collaborative environment where team members wear different hats and regularly interact with senior leadership. We get things done and move quickly. Study.com’s team members, together with our Study Studio network of instructors, tutors, subject matter experts, video animators, and editors, have developed 1.5 million learning resources on our platform. This includes micro-lessons, videos, flashcards, lesson plans, worksheets and more, fueling 16 million hours of learning engagement a year. We are in the heart of downtown Mountain View, just a few steps from the Caltrain station. And regardless if we are in the office or sheltered at home, we have comprehensive health and wellness benefits. We offer ongoing education and professional growth opportunities, including a life-long membership to Study.com. 100% paid health, vision, and dental insurance for employees 20 - 30 PTO days each year (increases with tenure) Tuition reimbursement and gift matching programs Study.com provides equal employment opportunities to all employees and applicants for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, veteran or disability status. In addition to federal law requirements, Study.com complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. Additionally, qualified applicants with arrest and conviction records will be considered for the position in accordance with applicable state and local laws. Marketing and Advertising, Computer Software, and Internet Referrals increase your chances of interviewing at Study.com by 2x",9
